coarse, extended_disorganized, bumpy
coarse, extended_disorganized, coarse
coarse, extended_disorganized, feathery
coarse, extended_disorganized, furry
coarse, extended_disorganized, scratchy
coarse, extended_disorganized, smooth
coarse, extended_organized, bumpy
coarse, extended_organized, coarse
coarse, extended_organized, feathery
coarse, extended_organized, furry
coarse, extended_organized, scratchy
coarse, extended_organized, smooth
coarse, flat, coarse
coarse, flat, scratchy
coarse, flat, velvety
coarse, round, bumpy
coarse, round, coarse
coarse, round, feathery
coarse, round, furry
coarse, round, scratchy
coarse, round, smooth
fine, extended_disorganized, coarse
fine, extended_disorganized, smooth
fine, extended_organized, bumpy
fine, extended_organized, coarse
fine, extended_organized, furry
fine, extended_organized, smooth
fine, flat, coarse
fine, flat, scratchy
fine, flat, smooth
fine, flat, velvety
fine, round, coarse
fine, round, smooth
medium, extended_disorganized, bumpy
medium, extended_disorganized, coarse
medium, extended_disorganized, feathery
medium, extended_disorganized, furry
medium, extended_disorganized, scratchy
medium, extended_disorganized, smooth
medium, extended_organized, bumpy
medium, extended_organized, coarse
medium, extended_organized, feathery
medium, extended_organized, furry
medium, extended_organized, scratchy
medium, extended_organized, smooth
medium, flat, coarse
medium, flat, scratchy
medium, flat, smooth
medium, flat, velvety
medium, round, bumpy
medium, round, coarse
medium, round, feathery
medium, round, smooth
